,State,City,Metro,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,ID,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
38,MI,Detroit,Detroit,2622000,713777,5.8,14,8.5,11.3,18,19.3,42.38470156,-83.10531788,770,42.43812719,-83.15206612,9.990496159,10.01090527,3288131.603,59077336.49,47463848.27,45154481.84,36342871.16,18.2572,14.09286,11.81886,12.3398,8.886159897
39,CO,Aurora,Detroit,804000,325078,5.1,9.2,4.7,5.1,12.1,10.9,39.70915948,-104.7265266,770,42.43812719,-83.15206612,9.990496159,10.01090527,3288131.603,59077336.49,47463848.27,45154481.84,36342871.16,18.2572,14.09286,11.81886,12.3398,8.886159897
94,NC,Durham,Durham,3719000,228330,4.8,8.8,4.8,5.3,12.7,10.8,35.98091474,-78.90591611,772,35.99882543,-78.90339529,15.82902646,16.0485177,60840.37531,133445.8045,117909.17,139065.7182,128493.9645,17.48002,13.24502,10.435724,9.24631,6.735589981
88,IN,Fort Wayne,Fort Wayne,1825000,253691,6.2,10.9,6.9,7.5,13.4,13.5,41.08849204,-85.14358988,709,41.09405071,-85.10826022,10.55536675,10.43110633,202795.9841,1473624.313,1258166.455,1195641.324,1050401.178,18.26434,15.29854,12.46194,12.78835,7.020820141
188,,,Fort Wayne ,,,,,,,,,,,,,,,,,,,,,,,,,
56,CA,Fresno,Fresno,627000,494665,4.9,9.8,5.8,6.6,14.6,14.3,36.78267867,-119.7941266,46,36.78757662,-119.7705095,17.81812143,18.90532923,652855.9733,4418893.677,3809006.317,4070041.367,3432841.139,21.9559,16.47764,15.1556,19.44245,10.47669983
191,,,Fresno ,,,,,,,,,,,,,,,,,,,,,,,,,
85,NC,Greensboro,Greensboro,3728000,269666,5.5,9.1,5.6,6.1,13.2,11.4,36.09604804,-79.82768331,742,36.06996335,-79.84098304,15.12003613,15.31133246,167975.0284,1003576.235,895492.1936,996985.4314,911469.0919,17.64756,12.88912,10.001884,8.689865,8.541000366
196,,,Greensboro ,,,,,,,,,,,,,,,,,,,,,,,,,
28,HI,Honolulu,Honolulu,71550,953207,5.5,9.5,5,4.1,9.6,9.4,21.45880393,-157.9732967,1,21.34067769,-157.8934967,23.4560318,23.5266223,512853.6667,5247006.262,3487001.783,2901707.103,2018231.877,7.237346,6.15893,5.563796,5.765125,0
206,,,Honolulu ,,,,,,,,,,,,,,,,,,,,,,,,,
11,TX,Houston,Houston,4835000,2099451,4.8,8.8,5.6,5.6,13,12.9,29.78066914,-95.3860034,315,29.78137075,-95.40836967,20.69648314,21.19856071,4873719.74,45957923.42,52311698.57,55374870.29,40878929.78,17.06226,11.71976,8.876372,9.49125,51.10409927
208,,,Houston ,,,,,,,,,,,,,,,,,,,,,,,,,
34,IN,Indianapolis,Indianapolis,1836003,820445,5.7,10.9,6.4,7.4,14.1,13.1,39.77712211,-86.14578215,651,39.80875482,-86.14531263,11.99781275,12.03193426,1086019.564,10638520.49,10325852.52,11060378.1,9747960.217,18.70204,14.45,12.17674,12.7333,5.990009785
